# 抽取翻译表：<原文>\t<英文>\t<资源名>
# 由 tools/i18n/extract.py 使用；同一个字面量在全局共用一个资源。
# 原文列必须与源码里的字符串**逐字一致**（含 \n 这类转义），否则工具会跳过它。

沉浸式翻译	Immersive translation	translate_title
没有失败的任务	No failed jobs	state_no_failed_jobs
暂无任务	No jobs yet	state_no_jobs
产物 · ${artifacts.size}	Artifacts · %1$s	label_artifacts_count
其他注解 · ${loose.size}	Other annotations · %1$s	label_other_annotations
（未命名产物）	(unnamed artifact)	label_unnamed_artifact
已过期	Expired	state_expired
找不到已下载的文件	The downloaded file cannot be found	error_downloaded_file_missing
设为最新	Set as latest	action_set_as_latest
标签	Tag	label_tag
标题（留空则用 tag）	Title (leave blank to use the tag)	label_title_optional_tag
目标分支	Target branch	label_target_branch_name
上传中…	Uploading…	state_uploading
上传失败	Upload failed	error_upload_failed_short
引用中 · 待上传	Referenced · pending upload	state_referenced_pending
待上传	Pending upload	state_pending_upload
移除	Remove	action_remove
导入安装包或任意文件	Import an APK or any file	action_import_any_file
选择文件	Choose file	action_choose_file
贡献墙	Contribution wall	label_contribution_wall
过去一年	Past year	label_past_year
暂无贡献数据	No contribution data yet	state_no_contribution_data
共 ${cal?.total ?: 0} 次贡献	%1$s contributions in total	label_total_contributions
 · 活跃 ${cal.activeDays} 天	 · active on %1$s days	suffix_active_days
 · 最深 ${cal.maxCount} 次/天	 · busiest %1$s per day	suffix_max_per_day
选择编写代码提交时的默认行为	Choose the default behaviour when committing code	note_choose_commit_default
之后可在「设置」里随时更改；选择「跳过」将在提交时再次询问。	You can change this in Settings at any time; choosing “Skip” asks again when you commit.	note_commit_mode_later
跳过	Skip	action_skip
✓ 已登录 GitHub	✓ Signed in to GitHub	state_signed_in_github
正在打开 GitHub 授权页，请稍候…	Opening the GitHub authorisation page…	state_opening_auth_page
若网页要求输入验证码 / 口令，请在网页上完成（首次在新设备登录时会出现）	If the page asks for a verification code, complete it in the browser (this only happens the first time you sign in on a new device)	note_complete_code_in_browser
正在校验授权…口令验证已在网页端完成	Verifying authorisation… code verification was completed in the browser	state_verifying_auth
模式未配置	Mode not configured	state_mode_not_configured
推荐	Recommended	label_recommended
危险	Dangerous	label_dangerous
收起更多	Collapse more	action_collapse_more
检测到安全风险	Security risk detected	state_security_risk
严重级别	Severity	label_severity
受影响范围	Affected scope	label_affected_scope
发现时间	Detected at	label_detected_at
描述	Description	label_description_plain
查看仓库	View repository	action_view_repository
通知未开启	Notifications are off	state_notifications_off
开启后下载进度与完成提醒才会出现在通知栏（不影响下载本身）。	Once enabled, download progress and completion alerts appear in the notification shade (this does not affect downloading itself).	note_enable_notifications
开启	Enable	action_enable
去设置	Open settings	action_open_settings
不再提示	Do not ask again	action_dont_ask_again
决定你改完代码后，改动以什么方式落到 GitHub。切换后立即生效，已存在的本地仓库不受影响。	Decides how your changes reach GitHub after you edit code. Switching takes effect immediately; existing local repositories are unaffected.	note_commit_mode_explain
当前：${mode?.label ?: "未配置（首次提交时会询问）"}	Current: %1$s	label_current_mode
选择提交模式	Choose commit mode	label_choose_commit_mode
收起 Git 面板	Collapse the Git panel	action_collapse_git_panel
展开 Git 面板	Expand the Git panel	action_expand_git_panel
登录 GitHub 网页会话	Sign in to the GitHub web session	action_sign_in_web_session
App 内的星标、关注、复刻都走官方 API，不需要这一步。\n只有「自定义通知（Custom）」需要网页会话 —— 登录后 Cookie 只保存在本机，用于 github.com 的网页端点。	Stars, watches and forks inside the app all use the official API and do not need this step.\nOnly “Custom” notifications require a web session — after signing in, the cookie is stored on this device only and is used for github.com web endpoints.	note_web_session_purpose
已登录：$login	Signed in: %1$s	state_signed_in_as
请在下方网页中登录 GitHub	Sign in to GitHub in the page below	note_sign_in_below
（未命名任务）	(unnamed job)	label_unnamed_job
该任务没有步骤	This job has no steps	state_job_no_steps
runner: ${job.runnerName.ifBlank { "待分配" }}	runner: %1$s	label_runner
（未命名步骤）	(unnamed step)	label_unnamed_step
⚠ ${annotations.size} 条注解	⚠ %1$s annotations	label_annotation_count
（无内容）	(no content)	state_no_content_paren
复制	Copy	action_copy
## 变更\n- …	## Changes\n- …	note_template_changes
文件变更 (${files.size})	Files changed (%1$s)	label_files_changed_count
已合并 PR #${d.number}	Merged PR #%1$s	state_merged_pr_number
合并此 PR	Merge this PR	action_merge_this_pr
${d.author} 想将 ${d.headRef} 合并到 ${d.baseRef}	%1$s wants to merge %2$s into %3$s	label_merge_intent
工作流操作	Workflow actions	label_workflow_actions
暂无运行记录	No runs yet	state_no_runs
（第 ${run.runAttempt} 次尝试）	(attempt %1$s)	label_attempt
· 第 ${run.runAttempt} 次尝试	 · attempt %1$s	suffix_attempt
未命名运行	Unnamed run	label_unnamed_run
由 ${run.actor.ifBlank { "—" }} 推送	Pushed by %1$s	label_pushed_by
${progress.total} 个任务 · 	%1$s jobs · 	label_jobs_count_dot
${progress.ok} 成功	%1$s succeeded	label_jobs_ok
${progress.failed} 失败	%1$s failed	label_jobs_failed
${progress.running} 运行中	%1$s running	label_jobs_running
${progress.waiting} 排队	%1$s queued	label_jobs_queued
${eventLabel(run.event)} · 创建于 ${isoShort(run.createdAt)}	%1$s · created %2$s	label_run_event_created
正在读取工作流文件…	Reading the workflow file…	state_reading_workflow_file
该工作流未声明 workflow_dispatch（无法手动触发）	This workflow does not declare workflow_dispatch (cannot be triggered manually)	state_no_workflow_dispatch
直接执行，无需参数	Runs directly; no parameters needed	note_no_parameters
需要填写 ${loaded.inputs.size} 个参数	%1$s parameters need filling in	note_parameters_required
未命名工作流	Unnamed workflow	label_unnamed_workflow
查看工作流文件	View the workflow file	action_view_workflow_file
该工作流没有网页地址	This workflow has no web URL	state_no_workflow_url
工作流文件	Workflow file	label_workflow_file
libgit2 的 HTTP 代理	HTTP proxy for libgit2	label_git_proxy_sub
http://127.0.0.1:7890 或 socks5://127.0.0.1:1080	http://127.0.0.1:7890 or socks5://127.0.0.1:1080	hint_proxy_example
当前生效	Currently active	state_currently_active
仅作用于「本地仓库」的 clone / pull / push（libgit2），普通网页请求不走这里。\n地址里的用户名与密码不会显示出来 —— 列表里只保留 host:port。	Only affects clone / pull / push for local repositories (libgit2); ordinary web requests do not go through it.\nThe username and password in the address are never displayed — only host:port is kept in the list.	note_proxy_scope_detail
未登录	Not signed in	state_not_signed_in
登录后才能同步仓库与通知	Sign in to sync repositories and notifications	note_sign_in_to_sync
长任务	Long task	label_long_task
短任务	Short task	label_short_task
双指缩放 · 双击放大 · 下拉关闭	Pinch to zoom · double-tap to enlarge · pull down to close	hint_image_viewer
用浏览器打开	Open in browser	action_open_in_browser_alt
图片加载失败	Failed to load the image	error_image_load_failed
点按重试	Tap to retry	action_tap_to_retry
未配置（首次提交时会询问）	Not configured (you will be asked on the first commit)	state_not_configured_will_ask
待分配	Unassigned	state_unassigned
已复制 ${list.size} 条链接	Copied %1$s links	toast_links_copied
没有可用的浏览器	No browser available	error_no_browser
分享消息	Share message	title_share_message
一	Mon	weekday_mon_short
三	Wed	weekday_wed_short
五	Fri	weekday_fri_short
译	Tr	bubble_translate_char
正在准备…	Preparing…	clone_phase_preparing
正在连接远端…	Connecting…	clone_phase_connecting
正在接收对象 $count	Receiving objects %1$s	clone_phase_receiving
正在解析增量 $count	Resolving deltas %1$s	clone_phase_resolving
正在检出文件 $count	Checking out files %1$s	clone_phase_checkout
正在写入引用…	Writing refs…	clone_phase_finalizing
正在取消…	Cancelling…	clone_phase_cancelling
拉取失败	Clone failed	clone_failed_title
已接收 $size	Received %1$s	clone_bytes_received
已取消拉取 $name	Cancelled cloning %1$s	toast_clone_cancelled
